Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
84.0,,,5,5,4.0,,,0,2,8.6
60.0,,,5,5,5.0,,,2,2,7.5
90.0,6.0,13.0,7,7,5.0,,,1,2,8.9
54.0,,3.5,4,4,2.0,2.0,3.0,0,1,5.35
92.0,,,8,8,2.0,4.0,4.0,0,1,6.9
91.0,7.0,13.0,3,5,,,,0,2,9.8
64.0,4.0,,5,5,5.0,,,2,2,7.2
74.0,5.0,18.0,1,1,5.0,4.0,5.0,0,2,9.9
48.0,,,5,5,5.0,6.0,,2,0,5.7
91.0,7.0,,5,5,5.0,,,0,2,9.5
80.0,5.0,13.0,8,5,5.0,6.0,6.0,0,2,10.0
70.0,6.0,13.0,8,5,5.0,6.0,,2,2,9.8
60.0,,,5,5,5.0,,,2,2,8.9
91.0,,,5,5,,,,0,2,8.6
96.0,6.0,13.0,3,5,4.0,,,1,2,9.6
30.0,,,8,5,2.0,2.0,2.0,0,1,3.79
300.0,15.0,32.0,6,1,3.0,6.0,3.0,0,1,9.4
91.0,7.0,17.0,8,8,,,,2,0,10.0
65.0,5.0,20.0,8,8,5.0,5.0,4.0,1,2,7.8
46.0,4.6,6.0,8,8,4.0,4.0,5.0,0,1,7.99
75.0,5.0,13.0,4,7,5.0,7.0,5.0,1,2,8.7
100.0,,,5,5,3.0,3.0,3.0,2,2,3.3
84.0,6.0,,3,5,5.0,,,2,2,9.45
60.0,3.5,5.0,8,6,2.0,6.0,5.0,0,1,5.6
369.0,15.0,12.0,8,8,2.0,4.0,4.0,0,1,6.3
75.0,5.0,13.0,4,4,,,,0,2,7.7
55.0,5.0,,5,5,2.0,4.0,,0,0,3.25
78.0,6.0,,5,5,5.0,,,0,2,9.59
67.4,4.0,8.0,5,5,5.0,4.0,6.0,0,0,9.5
28.0,,3.0,5,5,2.0,2.0,2.0,0,1,3.88
150.0,,,0,5,2.0,7.0,,0,2,6.7
72.0,5.6,3.5,5,5,1.0,,,0,0,10.0
78.0,6.0,13.0,8,8,4.0,6.0,6.0,0,0,8.63
68.0,,,7,5,3.0,4.0,6.0,0,2,6.5
43.0,,4.0,8,5,3.0,3.0,3.0,0,1,5.85
32.8,4.5,6.0,5,5,5.0,,,0,2,7.5
168.0,,,5,5,2.0,4.0,4.0,2,2,5.2
72.0,17.0,36.0,5,5,2.0,2.0,2.0,0,2,2.0
70.0,5.0,13.0,4,4,5.0,6.0,4.0,1,2,8.5
75.0,5.0,13.0,4,4,5.0,5.0,4.0,1,2,8.1
80.0,5.0,,5,8,5.0,,,1,2,9.0
378.0,,,5,5,2.0,3.0,3.0,0,1,7.8
88.0,5.5,11.5,8,3,5.0,4.0,4.0,0,2,6.5
54.0,5.8,3.0,3,3,4.0,6.0,6.0,0,1,8.8
36.0,3.8,2.2,1,5,5.0,,,0,0,3.85
41.0,,3.5,5,5,5.0,4.0,4.0,0,1,10.0
35.0,,,5,5,4.0,3.0,3.0,0,0,2.9
46.0,,30.0,7,7,,1.0,1.0,1,0,4.3
180.0,10.0,,5,5,4.0,3.0,3.0,0,1,5.3
38.0,,,5,5,3.0,3.0,3.0,0,1,2.1
45.0,5.0,6.0,0,0,3.0,3.0,4.0,0,2,5.95
90.0,6.0,,1,1,2.0,4.0,3.0,1,2,3.2
88.0,5.5,17.0,8,8,5.0,4.0,4.0,1,2,6.6
85.0,,,5,5,,4.0,5.0,0,2,5.9
143.9,,,5,5,4.0,4.0,5.0,2,2,9.5
81.3,,,5,5,5.0,,,2,2,9.7
88.0,,,5,5,4.0,,,1,2,6.7
38.0,,,5,5,2.0,1.0,1.0,2,2,4.1
40.0,4.1,6.0,4,4,4.0,3.0,4.0,0,2,7.7
113.0,,,5,5,,,,0,2,6.2
150.0,5.0,29.0,2,2,2.0,,,1,2,4.9
69.1,4.0,4.5,7,7,3.0,3.0,4.0,0,1,10.0
100.0,5.0,,8,5,3.0,5.0,3.0,2,2,8.1
30.0,,6.0,5,5,3.0,,,0,1,7.15
85.0,,,5,5,3.0,4.0,4.0,0,2,5.9
54.0,,,3,5,,,,2,2,8.15
52.7,7.0,3.0,5,5,5.0,6.0,,2,1,7.6
73.0,5.0,,5,5,4.0,4.0,4.0,2,2,9.5
80.0,,,5,5,,,,0,2,10.0
120.0,,,5,5,2.0,3.0,3.0,2,2,3.1
82.5,,15.5,3,5,4.0,4.0,3.0,2,2,5.71
52.0,4.0,3.0,5,5,4.0,4.0,4.0,2,2,6.5
45.0,6.0,3.0,5,5,4.0,4.0,4.0,0,2,7.65
200.0,10.0,13.0,8,3,2.0,3.0,3.0,1,2,5.6
120.0,,,5,5,3.0,4.0,3.0,2,2,8.4
64.0,4.0,,5,5,3.0,4.0,3.0,0,2,4.7
50.0,3.7,3.5,5,5,5.0,7.0,6.0,0,2,8.9
36.0,7.0,3.0,4,4,5.0,3.0,4.0,0,1,5.6
368.0,,,5,5,,,,2,2,6.3
88.0,,,5,5,4.0,,,2,2,6.6
156.0,,,5,5,2.0,,,1,2,7.8
99.4,4.0,,7,7,2.0,,2.0,0,1,9.5
33.0,,,4,5,5.0,,,0,0,4.95
100.0,,,5,5,,,,2,2,7.5
34.0,,2.0,5,5,4.0,3.0,,2,1,2.9
100.0,20.0,12.0,0,0,3.0,4.0,5.0,0,0,6.5
60.0,8.0,15.0,5,5,4.0,5.0,5.0,0,2,4.5
85.0,,,5,5,4.0,4.0,6.0,0,2,4.2
74.02,5.3,5.0,5,5,3.0,,,0,1,2.38
62.5,5.0,,5,5,5.0,,,0,2,7.5
87.0,5.0,33.0,8,3,5.0,5.0,5.0,0,2,10.0
56.0,5.0,5.0,0,5,,,,2,2,2.7
90.0,,,0,5,,3.0,,2,2,5.5
58.0,,,5,5,,,,1,0,4.61
35.0,5.0,2.0,5,5,5.0,5.0,4.0,0,1,6.85
50.4,,5.0,5,5,3.0,4.0,4.0,0,0,3.75
54.0,,5.0,5,5,3.0,4.0,4.0,0,1,4.3
57.4,,,5,5,3.0,3.0,2.0,0,0,4.05
56.0,3.82,2.5,8,5,5.0,6.0,5.0,0,1,6.5
151.0,4.0,6.0,2,2,2.0,4.0,3.0,0,1,3.2
51.75,4.5,6.0,4,4,4.0,4.0,5.0,0,2,9.2
27.0,4.0,10.0,5,5,5.0,4.0,5.0,0,1,7.65
115.0,,,5,5,,,,2,1,9.55
81.0,,18.5,5,5,5.0,,,2,2,9.9
102.8,7.0,18.0,8,5,2.0,4.0,4.0,2,2,5.6
48.0,,,5,5,,,,0,2,5.8
55.0,4.5,5.0,5,5,,,,2,2,6.8
56.25,4.5,5.0,5,5,3.0,4.0,3.0,0,0,4.29
65.0,,,5,5,2.0,3.0,3.0,2,2,4.0
80.0,8.0,8.0,1,1,5.0,5.0,6.0,2,2,6.5
60.0,4.0,,4,7,,,,1,2,7.0
33.0,3.0,2.0,3,3,5.0,3.0,4.0,0,1,4.48
38.0,4.2,6.0,7,7,4.0,3.0,4.0,0,1,6.78
150.0,5.0,38.0,2,2,,,,1,2,4.9
42.0,,,5,5,3.0,2.0,,0,2,6.5
60.0,,,5,5,,,,2,2,7.0
30.0,3.4,3.0,5,5,6.0,4.0,5.0,2,1,5.65
78.0,6.0,13.0,3,5,5.0,,,2,2,9.8
43.5,,2.0,4,4,4.0,3.0,4.0,0,0,6.2
23.9,3.5,,5,5,2.0,2.0,2.0,2,2,4.2
78.7,4.0,,8,5,,,,0,2,5.5
67.5,,,5,5,,,,2,2,2.18
72.0,4.0,5.0,5,5,2.0,4.0,4.0,0,1,6.7
60.0,,3.0,5,5,4.0,4.0,3.0,0,0,2.65
200.0,,,5,5,2.0,3.0,3.0,2,2,10.0
36.0,4.0,3.0,5,5,5.0,4.0,4.0,0,0,6.0
100.0,,20.0,1,1,3.0,4.0,4.0,0,1,8.49
120.0,6.0,30.0,5,5,4.0,,,0,2,5.85
78.0,,,5,5,3.0,3.0,3.0,0,1,5.8
132.0,4.0,8.0,5,5,2.0,3.0,2.0,2,2,7.0
102.0,,3.0,5,5,1.0,2.0,1.0,0,2,6.8
101.0,7.1,2.5,5,5,3.0,4.0,3.0,0,2,6.6
81.0,8.0,8.0,0,0,1.0,1.0,1.0,2,2,5.8
35.0,,,5,5,5.0,4.0,3.0,0,2,3.5
75.0,5.0,24.0,5,5,3.0,3.0,3.0,0,1,7.7
62.0,,,5,5,4.0,6.0,4.0,0,2,6.9
100.0,15.0,20.0,5,5,3.0,,,0,2,3.9
42.0,3.3,5.0,1,5,4.0,5.0,4.0,0,1,8.8
143.0,5.0,6.0,5,5,4.0,4.0,4.0,0,1,9.3
180.0,9.0,40.0,1,1,3.0,5.0,4.0,0,0,9.7
75.0,5.0,17.0,5,5,5.0,,,0,0,8.6
78.0,6.0,,5,5,5.0,,,0,0,9.4
33.0,4.5,2.5,1,1,5.0,3.0,4.0,0,1,4.15
31.0,,,5,5,5.0,,,0,2,2.9
83.6,,,2,5,4.0,4.0,5.0,0,2,8.6
56.0,4.8,3.0,8,8,6.0,4.0,4.0,0,2,5.3
90.0,5.0,17.5,7,7,4.0,4.0,5.0,0,2,3.85
55.0,4.0,5.0,5,5,5.0,6.0,5.0,0,1,8.3
50.0,9.0,,1,1,2.0,2.0,2.0,0,2,3.9
65.0,,8.0,5,5,4.0,4.0,5.0,2,2,4.2
60.0,,,5,5,,,,0,2,4.3
100.0,5.0,15.0,8,8,3.0,3.0,4.0,1,2,3.95
33.0,,,5,5,,1.0,1.0,1,2,1.4
60.0,,2.0,5,5,3.0,3.0,3.0,0,2,4.7
70.0,,,5,5,5.0,5.0,4.0,2,2,6.9
40.0,,5.0,2,5,4.0,5.0,4.0,0,1,9.1
40.0,,,8,5,5.0,6.0,3.0,2,2,6.25
66.0,4.0,12.0,5,5,4.0,5.0,3.0,0,2,8.95
35.0,,,5,5,4.0,4.0,3.0,0,1,6.25
74.0,,,5,5,2.0,4.0,3.0,0,1,6.83
45.0,,,5,5,2.0,2.0,2.0,0,2,4.4
70.0,,,5,5,,,,0,0,6.8
45.0,,24.0,8,5,,,,1,0,7.0
85.0,,18.0,3,5,2.0,4.0,4.0,0,2,5.9
48.0,,2.5,5,5,4.0,5.0,,0,0,6.4
56.1,4.2,,5,5,4.0,4.0,3.0,0,2,6.3
40.0,,,5,5,5.0,,,2,2,7.48
36.5,3.6,4.0,5,5,6.0,3.0,4.0,0,0,4.1
36.0,,,5,5,4.0,,,0,2,7.49
64.0,4.0,6.0,2,2,5.0,4.0,5.0,0,0,6.7
12.0,3.0,3.0,7,7,5.0,3.0,4.0,2,2,1.8
90.0,,,5,5,,3.0,2.0,0,2,3.2
53.0,4.3,22.0,6,6,5.0,6.0,5.0,0,0,6.39
96.0,5.5,,8,5,2.0,5.0,5.0,0,1,8.5
31.0,6.2,6.0,3,3,3.0,4.0,3.0,0,1,6.8
56.0,3.85,2.8,5,5,4.0,4.0,5.0,0,1,8.5
116.8,,,5,5,,3.0,2.0,0,2,7.3
56.0,5.0,13.0,8,8,5.0,,,2,2,7.6
64.0,4.0,6.0,5,5,5.0,6.0,6.0,0,1,5.98
65.0,5.5,7.0,4,4,3.0,3.0,3.0,0,1,4.7
50.0,,,5,5,4.0,4.0,4.0,2,2,7.0
100.0,5.0,,5,5,,,,2,2,2.15
70.0,6.6,,5,5,,,,2,2,9.6
55.0,5.0,3.0,5,5,5.0,4.0,5.0,0,1,6.8
37.0,4.0,,5,5,6.0,3.0,3.0,0,1,5.6
45.0,3.5,2.0,8,7,4.0,4.0,3.0,0,0,4.95
30.0,6.0,2.0,6,6,6.0,3.0,4.0,0,0,4.6
67.5,,,5,5,4.0,4.0,4.0,0,2,4.5
180.0,9.0,15.0,5,5,3.0,,,0,2,10.0
45.0,,,5,5,5.0,3.0,4.0,0,1,5.7
180.0,9.0,,0,7,3.0,5.0,6.0,0,2,9.7
46.5,5.0,,5,5,3.0,3.0,,2,2,2.8
68.0,4.0,5.0,5,5,1.0,3.0,3.0,0,2,2.8
120.0,,,5,5,,,,0,2,7.0
40.0,,,6,6,2.0,2.0,2.0,0,2,1.38
120.0,,,5,5,5.0,,,0,2,8.0
98.0,7.0,27.0,1,8,,,,1,0,6.9
80.0,,12.0,2,2,3.0,4.0,4.0,0,1,1.5
32.0,,,5,5,5.0,3.0,4.0,0,1,5.7
75.0,8.0,3.0,8,5,1.0,3.0,1.0,0,1,2.35
90.0,6.0,30.0,4,4,3.0,3.0,4.0,0,2,5.8
86.0,4.0,3.0,5,5,2.0,8.0,2.0,2,2,7.6
70.0,,,5,5,,4.0,4.0,0,2,2.7
120.0,5.0,,5,5,5.0,,,0,2,10.0
41.8,,,5,5,3.0,3.0,,2,2,2.85
48.6,,,5,5,,2.0,2.0,2,2,2.95
56.0,,7.0,6,5,3.0,3.0,3.0,2,2,4.65
32.0,,15.0,5,5,3.0,3.0,4.0,2,2,3.6
272.0,,,5,5,,4.0,5.0,2,2,4.5
42.0,5.6,3.0,6,6,5.0,3.0,4.0,0,0,8.5
114.0,6.0,36.0,1,1,5.0,,,0,2,8.5
53.0,,5.0,3,5,2.0,4.0,3.0,0,2,4.35
33.0,3.3,3.5,5,5,4.0,4.0,4.0,0,2,5.4
68.0,4.0,13.0,4,3,,,,1,2,8.5
40.0,4.25,3.0,4,4,5.0,4.0,4.0,0,1,6.3
72.0,,10.0,5,5,3.0,4.0,4.0,0,2,8.35
40.0,,6.0,5,5,1.0,2.0,2.0,0,1,2.35
20.0,,,5,5,3.0,2.0,2.0,0,1,2.8
91.0,5.0,,5,5,,,,1,2,3.5
45.0,4.0,5.0,8,5,5.0,,,2,2,4.5
52.0,4.5,8.0,0,0,4.0,4.0,3.0,0,0,7.2
34.0,,,5,5,4.0,3.0,4.0,0,1,2.95
112.5,5.0,7.5,5,5,3.0,5.0,3.0,0,1,4.9
225.0,12.0,,8,8,2.0,4.0,3.0,1,2,9.0
34.0,4.25,3.0,0,0,3.0,3.0,3.0,0,0,2.1
98.4,,12.0,3,3,1.0,3.0,2.0,0,1,1.19
20.0,3.6,15.0,8,8,4.0,3.0,,0,0,3.6
26.4,4.0,,3,5,3.0,2.0,1.0,2,2,3.85
75.0,5.0,7.5,5,5,4.0,,,0,2,4.35
60.0,5.0,9.0,8,5,3.0,4.0,5.0,0,2,5.6
51.0,4.2,12.0,4,4,2.0,3.0,4.0,0,0,6.0
35.0,,,5,5,3.0,,,0,2,5.65
34.0,8.1,,5,5,5.0,4.0,4.0,0,2,8.0
40.0,3.7,4.0,8,8,6.0,4.0,4.0,0,0,3.25
55.0,,,5,5,6.0,8.0,6.0,0,1,7.6
120.0,,,5,5,2.0,4.0,2.0,0,0,7.9
56.0,,13.0,5,5,5.0,,,2,2,7.6
60.0,6.0,5.0,5,5,3.0,3.0,2.0,0,0,2.95
60.0,4.5,6.0,5,5,4.0,4.0,4.0,0,0,6.5
40.0,,,5,5,4.0,4.0,4.0,0,0,2.5
100.0,,20.0,0,5,3.0,4.0,3.0,0,1,5.5
30.0,3.4,4.0,4,4,5.0,3.0,4.0,0,1,4.1
11.0,3.0,,5,5,3.0,2.0,2.0,0,1,1.85
110.0,4.4,7.0,5,5,2.0,2.0,2.0,0,2,5.0
135.0,,,5,5,3.0,,,2,2,7.55
54.0,,5.0,5,5,4.0,4.0,4.0,2,2,5.7
40.0,,,5,5,4.0,4.0,4.0,0,0,1.95
58.3,,12.0,2,2,3.0,4.0,5.0,0,1,5.5
53.0,3.6,5.0,5,5,4.0,3.0,4.0,0,0,6.5
27.0,4.6,,5,5,6.0,,,2,2,7.5
30.0,,8.0,5,5,2.0,2.0,2.0,2,2,3.75
101.0,9.0,,5,5,1.0,,,2,2,4.8
20.0,,,5,5,2.0,2.0,2.0,0,1,3.45
72.0,,,5,5,5.0,4.0,4.0,0,2,9.5
100.0,5.0,,5,5,,,,0,2,3.3
160.0,8.0,13.0,8,3,2.0,4.0,4.0,1,2,4.55
62.0,,22.0,1,1,2.0,3.0,3.0,0,0,2.8
65.0,6.0,4.0,0,5,1.0,2.0,1.0,0,0,1.65
48.0,,4.0,4,5,4.0,3.0,4.0,0,1,6.2
30.6,3.0,,5,5,,,,0,1,6.5
45.0,4.3,5.0,1,1,3.0,3.0,3.0,0,1,2.65
40.0,,4.0,8,5,4.0,4.0,3.0,0,1,5.6
24.3,2.38,,5,5,,,,0,2,7.2
65.0,,,5,5,3.0,4.0,4.0,0,2,10.0
84.0,4.3,8.0,5,5,2.0,3.0,2.0,0,1,2.45
135.0,9.0,12.0,5,5,3.0,,,2,2,7.55
31.0,3.6,3.0,3,3,5.0,4.0,3.0,0,0,4.55
38.1,8.0,,5,5,,,,0,2,5.5
60.0,6.0,3.5,4,5,4.0,4.0,4.0,0,0,8.0
35.0,,,5,5,5.0,,,0,2,2.85
177.0,6.1,,5,5,2.0,3.0,4.0,0,0,5.46
100.0,6.0,,5,5,2.0,2.0,1.0,0,1,2.7
45.0,,,5,5,5.0,4.0,,2,1,4.45
84.0,7.0,10.0,3,3,3.0,8.0,6.0,0,2,6.5
80.0,,6.0,5,5,3.0,5.0,5.0,0,0,6.9
52.0,,,5,5,,1.0,1.0,1,2,7.0
70.0,,,5,5,4.0,5.0,,0,2,7.5
58.0,,,5,5,3.0,3.0,3.0,0,1,6.39
67.0,,3.0,6,6,3.0,3.0,3.0,0,1,4.5
60.0,,,5,5,4.0,4.0,,0,0,4.5
64.0,,,5,5,,,,2,2,8.3
90.0,,,5,5,,,,2,2,3.3
52.0,,,5,5,3.0,4.0,,2,2,5.3
38.0,,3.0,3,5,4.0,5.0,4.0,2,1,4.35
41.0,,,5,5,4.0,5.0,3.0,0,2,3.6
124.0,,,5,5,,4.0,2.0,2,2,6.3
92.5,6.0,6.0,7,5,3.0,3.0,4.0,0,2,6.95
94.0,5.7,4.0,5,5,,,,0,2,4.8
45.5,3.7,,5,5,3.0,3.0,3.0,2,1,3.25
35.0,4.0,5.0,6,6,4.0,4.0,3.0,0,0,6.5
35.0,,,5,5,4.0,3.0,3.0,0,0,2.5
85.0,6.08,4.0,8,5,2.0,3.0,2.0,0,0,2.55
60.0,4.0,13.0,8,8,5.0,5.0,5.0,0,1,8.6
71.0,,4.0,5,5,2.0,2.0,2.0,0,0,4.9
