Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",84.0,5.0,13.0,Đông - Nam,Đông - Nam,4.0,6.0,5.0,Have certificate,Full,8.6
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.0,5.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,7.5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",90.0,6.0,13.0,Đông - Bắc,Đông - Bắc,5.0,6.0,5.0,Sale contract,Full,8.9
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,4.085,3.5,Tây - Nam,Tây - Nam,2.0,2.0,3.0,Sale contract,Full,5.35
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,4.085,5.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.9
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",91.0,7.0,13.0,Tây - Bắc,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,9.8
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",64.0,4.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,7.2
"Dự án Him Lam Thường Tín, Huyện Thường Tín, Hà Nội",74.0,5.0,18.0,Nam,Nam,5.0,4.0,5.0,Have certificate,Full,9.9
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",48.0,5.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Basic,5.7
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",91.0,7.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,9.5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",80.0,5.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,6.0,Sale contract,Full,10.0
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",70.0,6.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,9.8
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.0,5.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,8.9
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",91.0,5.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Sale contract,Full,8.6
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",96.0,6.0,13.0,Tây - Bắc,Đông - Nam,4.0,6.0,5.0,Sale contract,Full,9.6
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,4.085,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,3.79
"Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh",300.0,15.0,32.0,Đông,Nam,3.0,6.0,3.0,Have certificate,Full,9.4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",91.0,7.0,17.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Have certificate,Basic,10.0
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",65.0,5.0,20.0,Đông - Nam,Đông - Nam,5.0,5.0,4.0,Sale contract,Full,7.8
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,4.6,6.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Sale contract,Full,7.99
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Đông - Bắc,5.0,7.0,5.0,Sale contract,Full,8.7
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",100.0,5.0,16.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,3.3
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",84.0,6.0,13.0,Tây - Bắc,Đông - Nam,5.0,6.0,5.0,Have certificate,Full,9.45
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,3.5,5.0,Đông - Nam,Đông,2.0,6.0,5.0,Have certificate,Full,5.6
"Dự án Vườn Vua Resort & Villas, Đường 316, Xã Đồng Trung, Thanh Thủy, Phú Thọ",369.0,15.0,12.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.3
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Tây - Nam,5.0,6.0,5.0,Have certificate,Full,7.7
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,5.0,5.0,Đông - Nam,Đông - Nam,2.0,4.0,3.0,Have certificate,Basic,3.25
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",78.0,6.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Sale contract,Full,9.59
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4.0,8.0,Đông - Nam,Đông - Nam,5.0,4.0,6.0,Have certificate,Basic,9.5
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,4.085,3.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,3.88
"Dự án VSIP 1, Đường D11, Phường An Phú, Thuận An, Bình Dương",150.0,5.0,12.0,Bắc,Đông - Nam,2.0,7.0,3.0,Have certificate,Full,6.7
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72.0,5.6,3.5,Đông - Nam,Đông - Nam,1.0,4.0,4.0,Have certificate,Basic,10.0
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",78.0,6.0,13.0,Đông - Nam,Đông - Nam,4.0,6.0,6.0,Have certificate,Basic,8.63
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,4.7,6.0,Đông - Bắc,Đông - Nam,3.0,4.0,6.0,Have certificate,Full,6.5
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,4.085,4.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,5.85
"Ngõ 132, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",32.8,4.5,6.0,Đông - Nam,Đông - Nam,5.0,4.0,4.0,Have certificate,Full,7.5
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",168.0,5.0,16.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Sale contract,Full,5.2
"Dự án Hoàng Nam Uyên Hưng, Đường Tố Hữu, Phường Uyên Hưng, Tân Uyên, Bình Dương",72.0,17.0,36.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,In progress,Full,2.0
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",70.0,5.0,13.0,Tây - Nam,Tây - Nam,5.0,6.0,4.0,Sale contract,Full,8.5
"Dự án The Crown - Vinhomes Ocean Park 3, Huyện Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Tây - Nam,5.0,5.0,4.0,Sale contract,Full,8.1
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",80.0,5.0,13.0,Đông - Nam,Đông - Nam,5.0,6.0,5.0,Sale contract,Full,9.0
"Xã Lại Thượng, Thạch Thất, Hà Nội",378.0,15.0,8.5,Đông - Nam,Đông - Nam,2.0,3.0,3.0,Have certificate,Full,7.8
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,11.5,Đông - Nam,Tây - Bắc,5.0,4.0,4.0,Have certificate,Full,6.5
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.0,5.8,3.0,Tây - Bắc,Tây - Bắc,4.0,6.0,6.0,Have certificate,Full,8.8
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,3.8,2.2,Nam,Đông - Nam,5.0,4.0,4.0,Have certificate,Basic,3.85
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41.0,4.0,3.5,Đông - Nam,Đông - Nam,5.0,4.0,4.0,Sale contract,Full,10.0
"Yên Nghĩa, Hà Đông, Hà Nội",35.0,4.0,3.5,Đông - Nam,Đông - Nam,4.0,3.0,3.0,Have certificate,Basic,2.9
