Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Property_Type,City,District,Land_Price_Per_M2,Land_Value
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,4.085,3.5,Tây - Nam,Tây - Nam,2.0,2.0,3.0,Sale contract,Full,5.35,Nhà,Hồ Chí Minh,Quận 1,500.0,27000.0
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,4.085,5.0,Đông - Nam,Đông - Nam,2.0,4.0,4.0,Have certificate,Full,6.9,Nhà,Hồ Chí Minh,Quận 8,70.0,6440.0
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,4.085,5.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,3.79,Nhà,Hồ Chí Minh,Quận 1,500.0,15000.0
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,4.6,6.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Sale contract,Full,7.99,Nhà,Hồ Chí Minh,Quận 1,500.0,23000.0
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,3.5,5.0,Đông - Nam,Đông,2.0,6.0,5.0,Have certificate,Full,5.6,Nhà,Hồ Chí Minh,Bình Thạnh,130.0,7800.0
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,5.0,5.0,Đông - Nam,Đông - Nam,2.0,4.0,3.0,Have certificate,Basic,3.25,Nhà,Hồ Chí Minh,Quận 6,85.0,4675.0
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4.0,8.0,Đông - Nam,Đông - Nam,5.0,4.0,6.0,Have certificate,Basic,9.5,Chung cư,Hồ Chí Minh,Gò Vấp,75.0,5055.0
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,4.085,3.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,Have certificate,Full,3.88,Nhà,Hồ Chí Minh,Quận 1,500.0,14000.0
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,4.7,6.0,Đông - Bắc,Đông - Nam,3.0,4.0,6.0,Have certificate,Full,6.5,Nhà,Hồ Chí Minh,Quận 1,500.0,34000.0
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,4.085,4.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Have certificate,Full,5.85,Nhà,Hồ Chí Minh,Gò Vấp,75.0,3225.0
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",46.0,5.0,30.0,Đông - Bắc,Đông - Bắc,3.0,1.0,1.0,Sale contract,Basic,4.3,Chung cư,Hồ Chí Minh,Quận 1,500.0,23000.0
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,5.0,6.0,Bắc,Bắc,3.0,3.0,4.0,Sale contract,Full,5.95,Nhà,Hồ Chí Minh,Quận 1,500.0,22500.0
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,4.7,6.0,Đông - Nam,Đông - Nam,4.0,4.0,5.0,Have certificate,Full,9.5,Nhà,Hồ Chí Minh,Quận 7,180.0,25902.0
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,4.0,5.0,Đông - Nam,Đông - Nam,2.0,1.0,1.0,Have certificate,Full,4.1,Nhà,Hồ Chí Minh,Quận 1,500.0,19000.0
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Full,7.7,Nhà,Hồ Chí Minh,Quận 7,180.0,7200.0
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",113.0,4.2,6.0,Đông - Nam,Đông - Nam,3.0,3.0,3.0,Sale contract,Full,6.2,Nhà,Hồ Chí Minh,Quận 1,500.0,56500.0
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,Đông - Bắc,Đông - Bắc,3.0,3.0,4.0,Have certificate,Full,10.0,Nhà,Hồ Chí Minh,Quận 5,120.0,8292.0
